Kazakhstan,91.0,1,27.8,0,7.7,1,3067.0,1,31.6,1,727.0,0,2.8,0,1.13,0,3.14,0,0.6,0,65.4,1,288.12,1,10.5,0,99.5,1,70.2,1,1226.0,0,0.2,1,21.0,1,3.2,1,0.017,1,56.12,0,26.2,0,91149.0,1,797.0,0,53.0,0,34.2,1,9111.0,1,72.5,1,3.13,1,0.811,1,24.3,0,157.0,1,05.50,0,279.0,1,74.0,0,18.1,1,43.82173343826959,1,14.0,1,44.8,1,2.0594444799250544,1
Qatar,83.0,1,41.1,1,2.0,0,3446.5766547016906,1,33.7,1,3047.0,1,2.9,0,2.36,1,3.24,0,-64.74633556791764,0,72.6,1,135.0141634835341,1,6.5,0,41.0,0,77.5,1,209.0,0,3.1,1,35.1,1,0.4,0,-0.2737458789077536,0,105.2,1,13.8,0,465768.0,1,7566.986869696837,1,93.0,1,13.5,0,50815.0,1,94.2,1,1.83,0,0.855,1,25.4,1,53.0,0,27.15,1,1815.0,1,77.2,1,4.7,0,39.719105058544784,0,8.987398483601952,0,90.5,1,2.9010911128555605,1
Egypt,34.0,0,31.5,0,0.4,0,3292.0,1,24.1,0,551.0,0,3.8,0,1.87,1,2.93,0,1200.0,1,52.5,0,59.46,0,20.3,1,43.2,0,92.35,1,23000.0,1,0.0,0,32.0,1,2.6,1,0.00068,0,39.66,0,10.0,0,5387.0,1,8011.619407538583,1,96.0,1,24.3,0,3609.0,0,50.1,0,3.24,1,0.731,0,25.0,0,116.0,0,22.10,1,298.0,1,71.8,0,3.4,0,35.896947075511434,0,12.0,0,22.5,0,2.4017550553662583,1
Thailand,33.0,0,35.0,0,8.3,1,2804.0,0,39.0,1,700.0,0,4.1,0,0.22,0,6.04,1,0.4,0,68.3,1,29.35,0,9.0,0,78.7,1,5.4,0,6750.0,1,93.2,1,10.0,0,2.6,1,0.0014,0,206.81,1,1.2,0,2647.0,0,3220.0,1,98.0,1,31.7,1,7189.0,1,75.5,1,1.5,0,0.8,1,21.0,0,449.0,1,26.30,1,312.0,1,77.7,1,8.0,0,44.27515397761309,1,7.0,0,27.9,0,2.4038545914431015,1
Hungary,160.0,1,30.0,0,11.4,1,3316.0,1,43.6,1,2098.0,1,4.7,1,-0.34,0,6.56,1,30.7,0,65.0,1,159.05,1,3.7,0,99.1,1,0.5,0,11645.0,1,0.0,0,26.4,1,0.8,0,0.32,1,193.8,1,58.935,0,1830.0,0,6373.0,1,39.0,0,37.4,1,16129.0,1,76.8,1,1.56,0,0.846,1,29.3,1,169.0,1,09.75,0,1250.0,1,76.4,1,11.8,1,32.0,0,12.0,0,100.7,1,1.9292437965542022,0
South Africa,57.0,1,63.0,1,9.3,1,2899.0,1,28.0,0,1155.0,1,6.2,1,1.2,0,7.05,1,36.0,1,58.3,0,55.75,0,34.5,1,72.1,1,1.9,0,5418.0,1,0.2,1,28.3,1,33.5,1,0.35,1,43.91,0,79.8,1,16.0,0,3671.0,1,85.0,1,23.5,0,5094.0,0,53.6,0,2.36,1,0.713,0,33.0,1,248.0,1,17.75,0,472.0,1,65.3,0,23.5,1,14.0,0,12.0,0,39.0,1,2.130462642429845,1
Czech Republic,76.0,1,25.3,0,14.4,1,3277.0,1,43.3,1,3079.0,1,5.6,1,0.06,0,7.67,1,22.0,0,73.7,1,195.2,1,3.2,0,95.80074319848137,1,0.15,0,17330.0,1,0.0,0,26.0,1,0.7,0,0.026,1,85.89,0,34.0,0,160.0,0,8683.0,1,16.0,0,34.2,1,22911.0,1,79.5,1,1.71,0,0.889,1,29.8,1,179.0,1,07.55,0,2358.0,1,79.1,1,9.5,1,31.0,0,15.0,1,77.3,1,2.0055993740507336,0
Pakistan,43.0,0,29.6,0,0.3,0,2486.0,0,22.0,0,150.0,0,2.9,0,1.91,1,4.31,0,943.0,1,55.0,0,183.13,1,67.2,1,27.1,0,96.5,1,3811.0,1,0.0,0,8.6,0,3.9,1,-0.9097096296664695,0,92.00706618899704,1,1.6,0,350.0,0,1289.0,0,92.0,1,37.5,1,1167.0,0,60.8,0,3.39,1,0.544,0,23.2,0,38.0,0,20.20,0,127.0,0,65.6,0,9.8,1,44.24326839459482,1,7.0,0,12.3,0,1.9341721476547047,0
Colombia,57.0,1,54.2,1,5.8,0,3114.0,1,31.2,1,1156.0,1,4.5,1,0.81,0,7.04,1,971.0,1,67.3,1,108.47,0,13.8,0,81.4,1,0.2,0,17066.0,1,0.0,0,22.3,1,22.6,1,0.014,0,53.73,0,92.0,1,14424.0,1,3879.0,1,83.0,1,15.1,0,5333.0,1,59.3,0,1.77,0,0.752,1,22.7,0,194.0,1,24.50,1,296.0,1,79.3,1,3.7,0,27.0,0,14.0,1,33.9,0,2.1978904903843346,1
Cyprus,849.0,1,31.2,0,10.8,1,3019.0,1,37.9,1,2795.0,1,6.4,1,0.78,0,7.56,1,-232.4210347339392,0,68.1,1,113.31,1,2.3,0,93.8,1,25.3,1,930.0,0,0.2,1,21.8,1,1.2,0,0.0034,0,50.46,0,79.0,1,-54145.53994745527,0,9521.848864555683,1,25.0,0,40.9,1,28133.0,1,76.5,1,1.31,0,0.896,1,29.0,1,86.0,0,18.45,0,4087.0,1,83.1,1,3.2,0,39.5197120777613,0,14.0,1,131.3,1,1.8446656545527487,0
