Country,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentional homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominal US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminal responsibility,kg per capita 2002,military expenditures %gdp
Pakistan,43.0,29.6,0.3,2486.0,22.0,150.0,2.9,1.91,4.31,943.0,55.0,183.13,67.2,27.1,96.5,3811.0,0.0,8.6,3.9,NA,NA,1.6,350.0,1289.0,92.0,37.5,1167.0,60.8,3.39,0.544,23.2,38.0,20.20,127.0,65.6,9.8,NA,7.0,12.3,NA
Colombia,57.0,54.2,5.8,3114.0,31.2,1156.0,4.5,0.81,7.04,971.0,67.3,108.47,13.8,81.4,0.2,17066.0,0.0,22.3,22.6,0.014,53.73,92.0,14424.0,3879.0,83.0,15.1,5333.0,59.3,1.77,0.752,22.7,194.0,24.50,296.0,79.3,3.7,27.0,14.0,33.9,NA
Cyprus,849.0,31.2,10.8,3019.0,37.9,2795.0,6.4,0.78,7.56,NA,68.1,113.31,2.3,93.8,25.3,930.0,0.2,21.8,1.2,0.0034,50.46,79.0,NA,NA,25.0,40.9,28133.0,76.5,1.31,0.896,29.0,86.0,18.45,4087.0,83.1,3.2,NA,14.0,131.3,NA
Venezuela,23.0,39.0,5.6,2120.0,30.0,639.0,3.6,1.26,2.76,NA,25.9,117.79,24.2,88.1,0.4,2275.0,0.0,25.6,36.7,0.041,NA,88.0,21016.0,10.32,79.0,NA,3740.0,72.9,2.23,0.691,22.7,134.0,25.35,49.0,73.9,2.1,NA,NA,56.6,NA
Romania,58.0,34.8,12.6,3581.0,42.5,1627.0,3.1,-0.5,6.4,7.0,68.6,238.33,7.0,96.8,0.65,14984.0,0.0,22.5,1.5,0.06,NA,98.0,3403.0,6635.0,84.0,35.0,12929.0,64.9,1.6,0.821,26.7,116.0,08.80,810.0,75.6,7.3,NA,NA,54.5,NA
Malta,691.0,31.0,8.1,3420.0,42.3,3976.0,5.3,0.31,7.68,NA,68.6,190.06,7.0,85.8,2.6,404.0,0.0,28.9,1.6,0.0034,134.48,91.6,NA,11245.0,86.0,34.3,33771.0,65.5,1.13,0.918,29.2,153.0,19.20,1974.0,81.9,5.3,NA,NA,86.9,NA
Sweden,23.0,29.3,9.2,3184.0,41.1,5888.0,7.7,0.72,9.26,36.0,75.2,341.23,2.6,NA,7.1,8118.0,0.4,20.6,1.2,0.1,169.0,64.3,NA,NA,16.0,43.8,53575.0,91.3,1.66,0.947,33.9,68.0,01.75,4141.0,82.4,12.4,46.0,15.0,76.1,NA
Israel,33.0,38.6,3.8,3528.0,30.4,3055.0,5.8,1.55,7.84,29.0,72.8,193.6,3.7,79.8,18.0,8411.0,0.3,26.1,1.5,43.0,147.36,3.5,3.0,19690.0,51.0,31.7,47034.0,76.3,2.9,0.919,25.0,234.0,19.20,2402.0,82.6,5.2,46.0,12.0,97.1,5.2
Slovakia,112.0,23.2,11.5,2871.0,41.8,2093.0,3.9,0.04,6.97,NA,65.0,143.14,5.8,NA,0.15,9400.0,0.0,20.5,1.2,0.018,101.28,80.0,17.0,8708.0,47.0,32.0,19264.0,81.6,1.57,0.848,28.1,190.0,06.80,1597.0,78.2,9.3,31.0,14.0,67.4,NA
Bangladesh,22.0,32.4,0.0,2563.0,27.9,122.0,2.0,1.04,5.99,307.0,55.6,21.91,30.8,39.4,91.0,NA,0.5,3.6,2.4,NA,36.02,0.4,18.0,212.0,96.0,57.6,2001.0,75.9,1.99,0.661,25.0,48.0,25.00,48.0,74.3,3.9,NA,9.0,3.1,NA
