Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Malaysia,74.7,72.6,77.1,4.5,1.9,65.7,64.5,66.9,2.4,1.7,19.5,18.5,20.6,2.1,1.4,14.6,14.0,15.3,1.3,1.1,
Belize,74.4,71.4,77.8,6.4,4.1,65.3,63.5,67.3,3.8,3.0,21.5,20.3,22.9,2.6,2.8,16.7,15.9,17.6,1.7,2.0,
Brunei Darussalam,74.3,73.4,75.4,2.0,2.1,65.6,65.2,66.1,0.9,1.7,19.2,19.0,19.4,0.4,2.4,14.5,14.3,14.7,0.4,1.9,
Saint Lucia,74.3,71.3,77.7,6.4,1.1,64.7,63.0,66.6,3.6,0.7,20.9,19.2,22.9,3.7,0.9,15.8,14.7,17.1,2.4,0.6,
Bangladesh,74.3,73.0,75.6,2.6,8.7,64.3,64.2,64.4,0.2,7.3,20.9,20.3,21.5,1.2,3.1,15.5,15.4,15.7,0.3,2.2,
Saudi Arabia,74.3,73.1,76.1,3.0,3.8,64.0,63.8,64.4,0.6,2.8,19.9,19.3,20.8,1.5,2.4,14.0,13.8,14.4,0.6,1.6,
Kyrgyzstan,74.2,70.7,77.3,6.6,8.2,65.8,63.6,67.7,4.1,7.1,20.0,17.8,21.7,3.9,3.3,15.7,14.2,16.8,2.6,2.6,
Mauritius,74.1,71.0,77.3,6.3,2.9,63.9,62.0,65.9,3.9,2.0,20.3,18.5,22.0,3.5,2.5,14.5,13.3,15.6,2.3,1.6,
Kazakhstan,74.0,70.0,77.6,7.6,10.9,65.0,62.4,67.4,5.0,8.9,19.5,16.8,21.4,4.6,4.2,14.8,13.0,16.2,3.2,3.0,
Cabo Verde,74.0,69.9,77.9,8.0,3.0,64.8,62.2,67.2,5.0,2.8,19.7,16.8,21.8,5.0,-0.7,14.9,13.0,16.3,3.3,-0.5,
Oman,73.9,73.0,75.3,2.3,4.8,64.7,64.5,64.5,0.0,3.8,17.8,17.2,18.5,1.3,2.2,13.2,12.9,13.5,0.6,1.5,
Venezuela,73.9,69.9,78.2,8.3,-0.2,64.4,61.9,67.1,5.2,-0.3,21.7,19.7,23.6,3.9,0.4,16.3,15.0,17.5,2.5,0.3,
Viet Nam,73.7,69.6,78.1,8.5,2.3,65.3,62.4,68.3,5.9,2.0,19.6,16.9,22.0,5.1,0.7,14.8,12.9,16.4,3.5,0.5,
