Location,Region,Count,"Rate per 100,000",Male (%),Female (%),National (%),Foreign (%),Occupancy (%),Remand (%)
Trinidad and Tobago *,Americas,"3,999",292,97.1,2.9,99.2,0.8,81.8,59.7
Tunisia,Africa,"22,964",194,97.2,2.8,,,118.5,57.0
Turkey *,Europe,"281,094",335,96.1,3.9,96.7,3.3,125.6,43.1
Turkmenistan,Asia,"30,452",552,93.5,6.5,99.3,0.7,85.0,14.0
Tuvalu *,Oceania,11,110,100.0,0.0,100.0,0.0,,0.0
Uganda *,Africa,"55,229",124,95.5,4.5,97.7,2.3,319.2,49.8
Ukraine *,Europe,"52,609",148,96.1,3.9,98.3,1.7,68.3,37.2
United Arab Emirates *,Asia,"9,826",104,88.3,11.7,12.2,87.8,158.9,38.2
United States * [Note],Americas,"2,094,000",639,90.2,9.8,94.8,5.2,99.8,23.4
Uruguay,Americas,"11,755",337,94.6,5.4,97.2,2.8,99.3,22.3
Uzbekistan,Asia,"22,900",68,,,,,80.0,10.0
Vanuatu,Oceania,202,72,97.5,2.5,97.5,2.5,106.7,15.3
Venezuela *,Americas,"43,992",134,94.3,5.7,97.8,2.2,167.7,61.3
Vietnam *,Asia,"123,697",128,89.3,10.7,99.6,0.4,,12.4
British Virgin Islands,Americas,143,447,95.5,4.5,,,90.0,37.0
U.S. Virgin Islands,Americas,412,394,97.3,2.7,84.3,15.7,162.5,36.4
Yemen *,Asia,"14,000",53,98.4,1.6,96.8,3.2,,70.1
Zambia,Africa,"22,823",123,97.0,3.0,97.9,2.1,247.8,17.6
Zimbabwe *,Africa,"22,000",127,97.6,2.4,98.1,1.9,129.4,18.6
